ababa	a- ba- ba
bihanganiye	bi- hangana -iye
bihanganye	bi- hanganye
bihangayikijwe	bi- hangayika -ije -w
bihangayikisha	bi- hangayika -ish
bihangayikishe	bi- hangayika -ish -e
bihangayikishije	bi- hangayika -ish -ije
bihangayikishijwe	bi- hangayika -ish -ije -w
bihangayishije	bi- ha- n- gaya -ish -ije
bihangije	bi- hanga -ije
bihangira	bi- hanga -ir
bihangire	bi- hanga -ir -e
bihangirikira	bi- ha- angirika -ir
bihangiye	bi- hanga -iye
bihanira	bi- hana -ir
bihanirwa	bi- hana -ir -w
bihanirwe	bi- hana -ir -w -e
bihanishwa	bi- hana -ish -w
bihanitse	bi- hanitse
bihaniye	bi- hana -iye
bihannye	ba- ihannye
bihanshywe	bi- ha- n- shya -w -e
bihantwa	bi- ha- n- ta -w
bihanukira	bi- hanuka -ir
bihanukiriye	bi- hanuka -ir -iye
bihanura	bi- hanura
bihanurwa	bi- hanura -w
bihanwa	bi- hana -w
bihanye	bi- hanye
bihanyura	bi- ha- nyura
bihanze	bi- hanze
bihapfira	bi- ha- pfa -ir
biharangwa	bi- ha- ranga -w
biharanira	bi- haranira
biharanirwa	bi- haranira -w
biharaniwe	bi- hara -an -iye -w
bihari	bi- ha- ri
biharinda	bi- ha- rinda
biharira	ba- iharira
biharire	ba- iharira -e
biharirwa	ba- iharira -w
biharirwe	ba- iharira -w -e
bihariwe	bi- ha- riwe
bihariye	ba- ihariye
biharura	bi- harura
bihasanzwe	bi- ha- sanzwe
bihashirire	bi- ha- shira -ir -e
bihashya	bi- ha- shya
bihashywe	bi- ha- shya -w -e
bihasiga	bi- ha- siga
bihatana	bi- ha- tana
bihatanirwa	bi- ha- tana -ir -w
bihatanye	bi- ha- tanye
bihateganyijwe	bi- ha- teganya -ije -w
bihateye	bi- ha- teye
bihatinda	bi- ha- tinda
bihatira	bi- ha- tira
bihatire	bi- ha- tira -e
bihatiye	bi- hata -iye
bihatse	bi- hatse
bihatunganirijwe	bi- ha- tungana -ir -ije -w
bihatunganya	bi- ha- tunganya
bihaturiye	bi- ha- tu- riye
bihaturuka	bi- ha- turuka
bihatwa	bi- hata -w
bihatwara	bi- ha- twara
bihava	bi- ha- va
bihavugwa	bi- ha- vuga -w
bihawe	bi- hawe
bihaye	bi- haye
bihayimana	bi- ha- y- ima -an
bihaza	bi- haza
bihazanwa	bi- ha- zana -w
bihaze	bi- haze
bihe	biha -e
biheba	ba- iheba
bihebe	ba- iheba -e
bihebuje	bi- hebuje
bihebye	ba- ihebye
bihegereye	bi- ha- egereye
bihejeje	bi- hejeje
bihemba	bi- hemba
bihembe	bi- hemba -e
bihembera	bi- hemba -ir
bihembwa	bi- hemba -w
bihembwe	bi- hemba -w -e
bihemukira	bi- hemuka -ir
bihenda	bi- henda
bihende	bi- henda -e
bihenduka	bi- henduka
bihendukira	bi- henduka -ir
bihendutse	bi- hendutse
bihendwa	bi- henda -w
bihenze	bi- henze
bihera	bi- hera
biheraho	bi- hera -ho
bihere	bi- hera -e
biherejwe	bi- hera -ije -w
biherekeje	bi- herekeje
biherekejwe	bi- ha- ereka -ije -w
biherekeza	bi- herekeza
biherekezwa	bi- herekeza -w
biherera	ba- iherera
bihereramo	ba- iherera -mo
bihererana	bi- hererana
bihereranye	bi- hereranye
bihererekanya	bi- hererekanya
bihererekanywe	bi- hererekanya -w -e
bihereye	bi- hereye
bihereyeho	bi- hereye -ho
biheruka	bi- heruka
biherutse	bi- herutse
biherutswe	bi- herutsa -w -e
biherwaho	bi- hera -w -ho
bihesha	biha -ish
biheshe	biha -ish -e
biheshwa	biha -ish -w
biheza	bi- heza
biheze	bi- heze
bihigaga	bi- higa -aga
bihiganje	bi- ha- i- ganje
bihigwa	bi- higa -w
bihihishaga	bi- ha- i- hisha -aga
bihimbaza	bi- himbaza
bihimbira	bi- himba -ir
bihimbiye	bi- himba -iye
bihinduka	bi- hinduka
bihindukaho	bi- hinduka -ho
bihinduke	bi- hinduka -e
bihindukira	bi- hindukira
bihindukiye	bi- hindukiye
bihindura	bi- hindura
bihindure	bi- hindura -e
bihindurwa	bi- hindurwa
bihindurwamo	bi- hindurwa -mo
bihindurwe	bi- hindurwa -e
bihindutse	bi- hindutse
bihinga	bi- hinga
bihinganye	bi- hinga -an -ye
bihinganywe	bi- ha- i- nganya -w -e
bihingira	bi- hinga -ir
bihingiraga	bi- hinga -ir -aga
bihingirwa	bi- hinga -ir -w
bihingiye	bi- hinga -iye
bihinguka	bi- hinguka
bihingwa	bi- hinga -w
bihingwaho	bi- hinga -w -ho
bihingwamo	bi- hinga -w -mo
bihingwe	bi- hinga -w -e
bihinze	bi- hinze
bihinzeho	bi- hinze -ho
bihinzemo	bi- hinze -mo
bihira	biha -ir
bihise	bi- hise
bihisemo	bi- hise -mo
bihish	biha -ish
bihisha	bi- hisha
bihishaga	bi- hisha -aga
bihishagamo	bi- hisha -aga -mo
bihishamo	bi- hisha -mo
bihishe	bi- hishe
bihishemo	bi- hishe -mo
bihisheyo	bi- hishe -yo
bihishimiye	bi- ha- ishima -iye
bihishurirwe	bi- hishura -ir -w -e
bihita	bi- hita
bihitamo	bi- hita -mo
bihitana	bi- hita -an
bihitanye	bi- hita -an -ye
bihite	bi- hita -e
bihitira	bi- hita -ir
bihitiraga	bi- hita -ir -aga
bihitiramo	bi- hita -ir -mo
bihitiremo	bi- hita -ir -e -mo
bihitisha	bi- hita -ish
bihitiyemo	bi- hita -iye -mo
bihiye	biha -iye
bihomba	bi- homba
bihombye	bi- homba -ye
bihonda	bi- honda
bihondwa	bi- honda -w
bihora	bi- hora
bihoraho	bi- hora -ho
bihoramo	bi- hora -mo
bihorana	bi- hora -an
bihore	bi- hora -e
bihoreho	bi- hora -e -ho
bihorera	ba- ihorera
bihoreye	ba- ihoreye
bihoza	bi- hoza
bihoze	bi- hoze
bihubakwa	bi- ha- ubaka -w
bihubukiwe	bi- hubuka -iye -w
bihugiraho	bi- hugira -ho
bihugiyeho	bi- hugiye -ho
bihugura	bi- hugura
bihugure	bi- hugura -e
bihugurirwamo	bi- hugura -ir -w -mo
bihuha	bi- huha
bihuhwe	bi- huhwa -e
bihumanya	bi- humanya
bihumanye	bi- humanye
bihumanyijwe	bi- humanya -ije -w
bihumeka	bi- humeka
bihumura	bi- humura
bihumurirwe	bi- humura -ir -w -e
bihumuza	bi- humuza
bihunga	bi- hunga
bihunge	bi- hunga -e
bihunguka	bi- hunguka
bihungukira	bi- hunguka -ir
bihunikwa	bi- hunika -w
bihunitse	bi- hunitse
bihura	bi- hura
bihure	bi- hura -e
bihurijeho	bi- hura -ije -ho
bihurijwe	bi- hura -ije -w
bihurira	bi- hura -ir
bihuriramo	bi- hura -ir -mo
bihurirana	bi- ha- urira -an
bihuriranye	bi- ha- urira -an -ye
bihurire	bi- hura -ir -e
bihuririweho	bi- hura -ir -iye -w -ho
bihuririye	bi- hura -ir -iye
bihurirwaho	bi- hura -ir -w -ho
bihurirwamo	bi- hura -ir -w -mo
bihuriwe	bi- hura -iye -w
bihuriweho	bi- hura -iye -w -ho
bihuriye	bi- hura -iye
bihuriyeho	bi- hura -iye -ho
bihuriyemo	bi- hura -iye -mo
bihuse	ba- ihuse
bihuta	ba- ihuta
bihutana	ba- ihuta -an
bihute	ba- ihuta -e
bihutira	ba- ihuta -ir
bihutiraga	ba- ihuta -ir -aga
bihutiraho	ba- ihuta -ir -ho
bihutire	ba- ihuta -ir -e
bihutisha	ba- ihuta -ish
bihutishaga	ba- ihuta -ish -aga
bihutishe	ba- ihuta -ish -e
bihutishwa	ba- ihuta -ish -w
bihutishwaga	ba- ihuta -ish -w -aga
bihutiwe	ba- ihuta -iye -w
bihutiye	ba- ihuta -iye
bihutiyeho	ba- ihuta -iye -ho
bihuye	bi- huye
bihuza	bi- huza
bihuzwa	bi- huza -w
bihuzwe	bi- huza -w -e
biinyuranye	bi- i- nyura -an -ye
biirinda	bi- irinda
biitaga	bi- ita -aga
bije	bi- je
bijugunya	bi- jugunya
bijugunywa	bi- jugunya -w
bijugunywaho	bi- jugunya -w -ho
bijujuta	ba- ijujuta
bijujutira	ba- ijujuta -ir
bijurire	bi- jurira -e
bijya	bi- jya
bijyaho	bi- jya -ho
bijyamo	bi- jya -mo
bijyana	bi- jyana
bijyane	bi- jyana -e
bijyanira	bi- jyana -ir
bijyanisha	bi- jyana -ish
bijyanwa	bi- jyana -w
bijyanwamo	bi- jyana -w -mo
bijyanwe	bi- jyana -w -e
bijyanye	bi- jyanye
bijye	bi- jya -e
bika	bika
bikaba	bi- ka- ba
bikabababaza	bi- ka- ba- babaza
bikababaho	bi- ka- ba- ba -ho
bikababana	bi- ka- ba- bana
bikababaza	bi- ka- babaza
bikababera	bi- ka- ba- bera
bikababuranisha	bi- ka- ba- burana -ish
bikababuza	bi- ka- ba- buza
bikababwira	bi- ka- ba- bwira
bikababyarira	bi- ka- ba- byara -ir
bikabaca	bi- ka- ba- ca
bikabacikiraho	bi- ka- ba- cika -ir -ho
bikabacira	bi- ka- ba- cira
bikabafasha	bi- ka- ba- fasha
bikabafataho	bi- ka- ba- fata -ho
bikabagaragaza	bi- ka- ba- garagaza
bikabagarirwa	bi- ka- bagara -ir -w
bikabagaruka	bi- ka- ba- garuka
bikabageraho	bi- ka- ba- gera -ho
bikabagereraho	bi- ka- ba- gera -ir -ho
bikabageza	bi- ka- ba- geza
bikabagira	bi- ka- ba- gira
bikabagiraho	bi- ka- ba- gira -ho
bikabagirira	bi- ka- ba- gira -ir
bikabagora	bi- ka- ba- gora
bikabagusha	bi- ka- ba- gusha
bikabagwa	bi- ka- bagwa
bikabaha	bi- ka- ba- ha
bikabahaza	bi- ka- ba- haza
bikabahenda	bi- ka- ba- henda
bikabahesha	bi- ka- ba- ha -ish
bikabahitana	bi- ka- ba- hita -an
bikabaho	bi- ka- ba -ho
bikabahuza	bi- ka- ba- huza
bikabakaba	bi- ka ba- ka- ba
bikabakanga	bi- ka- ba- kanga
bikabakiza	bi- ka- ba- kiza
bikabakura	bi- ka- ba- kura
bikabakururira	bi- ka- ba- kurura -ir
bikabamara	bi- ka- ba- mara
bikabamo	bi- ka- ba -mo
bikabananira	bi- ka- ba- nanira
bikabanyura	bi- ka- ba- nyura
bikabanza	bi- ka- banza
bikabanziriza	bi- ka- banziriza
bikabanzirizwa	bi- ka- banziriza -w
bikabapfira	bi- ka- ba- pfa -ir
bikabara	bi- ka- bara
bikabarenga	bi- ka- ba- renga
bikabarinda	bi- ka- ba- rinda
bikabarirwa	bi- ka- ba- rira -w
bikabaruhura	bi- ka ba- ru- hura
bikabarushya	bi- ka- ba- rushya
bikabarwa	bi- ka- barwa
bikabasaba	bi- ka- ba- saba
bikabasaziraho	bi- ka- ba- saza -ir -ho
bikabasha	bi- ka- basha
bikabashengura	bi- ka- ba- shengura
bikabashirana	bi- ka- ba- shira -an
bikabashishikaza	bi- ka- ba- shishikaza
bikabashobera	bi- ka- ba- shobera
bikabashyiraho	bi- ka- ba- shyira -ho
bikabashyushya	bi- ka- ba- shyushya
bikabasiga	bi- ka- ba- siga
bikabasubiza	bi- ka- ba- subiza
bikabatandukanya	bi- ka- ba- tandukanya
bikabatera	bi- ka- ba- tera
bikabatesha	bi- ka- ba- ta -ish
bikabatunga	bi- ka- ba- tunga
bikabatungura	bi- ka- ba- tungura
bikabaturuka	bi- ka- ba- turuka
bikabaturukaho	bi- ka- ba- turuka -ho
bikabatuza	bi- ka- ba- tuza
bikabatwara	bi- ka- ba- twara
bikabavangira	bi- ka- ba- vanga -ir
bikabavira	bi- ka- ba- va -ir
bikabaviramo	bi- ka- ba- va -ir -mo
bikabavuna	bi- ka- ba- vuna
bikabavura	bi- ka- ba- vura
bikabayobera	bi- ka- ba- yobera
bikabayobora	bi- ka- ba- yobora
bikabazamura	bi- ka- ba- zamura
bikabazanira	bi- ka- ba- zanira
bikabazwa	bi- ka- baza -w
bikabera	bi- ka- bera
bikabibutsa	bi- ka- ba- ibutsa
bikabica	bi- ka- bi- ca
bikabifata	bi- ka- bi- fata
bikabigiramo	bi- ka- bi- gira -mo
bikabigisha	bi- ka- ba- igisha
bikabije	bi- kabije
bikabikenera	bi- ka- bi- kenera
bikabikora	bi- ka- bi- kora
bikabikwa	bi- ka- bi- kwa
bikabira	bi- ka- bira
bikabitura	bi- ka- bi- tura
bikabiviramo	bi- ka- bi- va -ir -mo
bikabohereza	bi- ka- ba- ohereza
bikabohwa	bi- ka- boha -w
bikabona	bi- ka- bona
bikaboneka	bi- ka- boneka
bikabonekamo	bi- ka- boneka -mo
bikaboneke	bi- ka- boneka -e
bikabonekera	bi- ka- boneka -ir
bikaboneraho	bi- ka- bonera -ho
bikabonerwa	bi- ka- bonera -w
bikabongerera	bi- ka- ba- ongera -ir
bikabora	bi- ka- bora
bikaborera	bi- ka- bora -ir
bikaborohera	bi- ka- ba- oroha -ir
bikabubaka	bi- ka- ba- ubaka
bikabubakamo	bi- ka- ba- ubaka -mo
bikabufata	bi- ka- bu- fata
bikabungukira	bi- ka- bunguka -ir
bikabura	bi- ka- bura
bikaburirwa	bi- ka- burira -w
bikabutaha	bi- ka- bu- taha
bikabutembana	bi- ka- bu- temba -an
bikabuza	bi- ka- buza
bikabya	bi- kabya
bikabyara	bi- ka- byara
bikabyibonera	bi- ka- bi- i- bonera
bikabyorohera	bi- ka- bi- oroha -ir
bikabyumva	bi- ka- bi- umva
bikabyutsa	bi- ka- byutsa
bikacyangiza	bi- ka- ki- angiza
bikacyongerera	bi- ka- ki- ongera -ir
bikadindiza	bi- ka- dindiza
bikadufasha	bi- ka- tu- fasha
bikaduha	bi- ka- tu- ha
bikaduhangayikisha	bi- ka- tu- hangayika -ish
bikaduhenda	bi- ka- tu- henda
bikaduhesha	bi- ka- tu- ha -ish
bikadusaba	bi- ka- tu- saba
bikadushimisha	bi- ka- tu- shima -ish
bikadushobera	bi- ka- tu- shobera
bikadutera	bi- ka- tu- tera
bikadutunga	bi- ka- tu- tunga
bikaga	bika -aga
bikagabanuka	bi- ka- gabanuka
bikagabanya	bi- ka- gabanya
bikagabanywa	bi- ka- gabanya -w
bikagaburira	bi- ka- gaburira
bikagaburirwa	bi- ka- gaburirwa
bikagaga	bi- ka- gaga
bikagagira	bi- ka- ka- gira
bikagana	bi- ka- gana
bikaganira	bi- ka- ganira
bikaganirwa	bi- ka- ganira -w
bikaganirwaho	bi- ka- ganira -w -ho
bikaganisha	bi- ka- gana -ish
bikagaragara	bi- ka- garagara
bikagaragaramo	bi- ka- garagara -mo
bikagaragarira	bi- ka- garagara -ir
bikagaragaza	bi- ka- garagaza
bikagaragazwa	bi- ka- garagaza -w
bikagaruka	bi- ka- garuka
bikagarukira	bi- ka- garuka -ir
bikagaruzwa	bi- ka ka- ru- za -w
bikagemurwa	bi- ka- gemura -w
bikagenda	bi- ka- genda
bikagendana	bi- ka- gendana
bikagendera	bi- ka- genda -ir
bikagenderweho	bi- ka- genda -ir -w -e -ho
bikagenerwa	bi- ka- genera -w
bikagenzurwa	bi- ka- genzura -w
bikagera	bi- ka- gera
bikagerayo	bi- ka- gera -yo
bikagereranywa	bi- ka- gereranya -w
bikagerwaho	bi- ka- gera -w -ho
bikageza	bi- ka- geza
bikagezwa	bi- ka- geza -w
bikagibwaho	bi- ka- ki- ba -w -ho
bikagije	bi- ka- ki- je
bikagira	bi- ka- gira
bikagirana	bi- ka- gira -an
bikagirira	bi- ka- gira -ir
bikagirwa	bi- ka- girwa
bikagirwamo	bi- ka- girwa -mo
bikagitwara	bi- ka- ki- twara
bikagoboka	bi- ka- goboka
bikagomba	bi- ka- gomba
bikagora	bi- ka- gora
bikagorana	bi- ka- gora -an
bikagufasha	bi- ka- ku- fasha
bikaguhumuriza	bi- ka- ku- humuriza
bikaguka	bi- ka- aguka
bikaguma	bi- ka- guma
bikagumana	bi- ka- gumana
bikagumishwa	bi- ka- guma -ish -w
bikagura	bi- ka- gura
bikagurana	bi- ka- gurana
bikagurirwa	bi- ka- gura -ir -w
bikagurishwa	bi- ka- gurishwa
bikagurwa	bi- ka- gurwa
bikagusaba	bi- ka- ku- saba
bikagusha	bi- ka- gusha
bikagushobera	bi- ka- ku- shobera
bikagutangaza	bi- ka- ku- tangaza
bikagutera	bi- ka- ku- tera
bikagwa	bi- ka- gwa
bikagwira	bi- ka- gwira
bikahabona	bi- ka- ha- bona
bikahaburira	bi- ka- ha- burira
bikahahurira	bi- ka- ha- hura -ir
bikahajugunywa	bi- ka- ha- jugunya -w
bikahananirwa	bi- ka- ha- nanirwa
bikahangirikira	bi- ka- ha- angirika -ir
bikahatwikira	bi- ka- ha- twikira
bikahava	bi- ka- ha- va
bikaje	bi- ka- je
bikajuririrwa	bi- ka- jurira -ir -w
bikajya	bi- ka- jya
bikajyaho	bi- ka- jya -ho
bikajyana	bi- ka- jyana
bikajyane	bi- ka- jyana -e
bikajyanwa	bi- ka- jyana -w
bikakabana	bi- ka- ka- bana
bikakagiraho	bi- ka- ka- gira -ho
bikakagirira	bi- ka- ka- gira -ir
bikakigaruka	bi- ka- ki- garuka
bikakigora	bi- ka- ki- gora
bikakimara	bi- ka- ki- mara
bikakira	bi- ka- kira
bikakorohera	bi- ka- ka- oroha -ir
bikakubabaza	bi- ka- ku- babaza
bikakubera	bi- ka- ku- bera
bikakugaruka	bi- ka- ku- garuka
bikakugirira	bi- ka- ku- gira -ir
bikakunanira	bi- ka- ku- nanira
bikakunezeza	bi- ka- ku- nezeza
bikakurinda	bi- ka- ku- rinda
bikakuviramo	bi- ka- ku- va -ir -mo
bikakuyobera	bi- ka- ku- yobera
bikakwibutsa	bi- ka- ku- ibutsa
bikakwigisha	bi- ka- ku- igisha
bikamamazwa	bi- ka- amamaza -w
bikamanikwa	bi- ka- manika -w
bikamanuka	bi- ka- manuka
bikamanukira	bi- ka- manuka -ir
bikamanura	bi- ka- manura
bikamanurwa	bi- ka- manura -w
bikamara	bi- ka- mara
bikamaramo	bi- ka- mara -mo
bikamarwa	bi- ka- mara -w
bikambabaza	bi- ka- n- babaza
bikambakamba	bi- kambakamba
bikambera	bi- ka- n- bera
bikamenwa	bi- ka- mena -w
bikamenyera	bi- ka- menyera
bikamenyerwa	bi- ka- menyera -w
bikamenyeshwa	bi- ka- menya -ish -w
bikamenywa	bi- ka- menya -w
bikamera	bi- ka- mera
bikamerera	bi- ka- mera -ir
bikamfasha	bi- ka- n- fasha
bikamuba	bi- ka- mu- ba
bikamubabaza	bi- ka- mu- babaza
bikamubaho	bi- ka- mu- ba -ho
bikamubashisha	bi- ka- mu- basha -ish
bikamubera	bi- ka- mu- bera
bikamubuza	bi- ka- mu- buza
bikamubwira	bi- ka- mu- bwira
bikamuca	bi- ka- mu- ca
bikamufasha	bi- ka- mu- fasha
bikamufata	bi- ka- mu- fata
bikamugeza	bi- ka- mu- geza
bikamugira	bi- ka- mu- gira
bikamugiraho	bi- ka- mu- gira -ho
bikamugirira	bi- ka- mu- gira -ir
bikamugora	bi- ka- mu- gora
bikamugwa	bi- ka- mu- gwa
bikamuha	bi- ka- mu- ha
bikamuhama	bi- ka- mu- hama
bikamuhangayikisha	bi- ka- mu- hangayika -ish
bikamuhesha	bi- ka- mu- ha -ish
bikamuhindura	bi- ka- mu- hindura
bikamuhira	bi- ka- mu- ha -ir
bikamuhuza	bi- ka- mu- huza
bikamukundira	bi- ka- mu- kundira
bikamukura	bi- ka- mu- kura
bikamunanira	bi- ka- mu- nanira
bikamungwa	bi- ka mu- n- gwa
bikamupfira	bi- ka- mu- pfa -ir
bikamurinda	bi- ka- mu- rinda
bikamurindira	bi- ka- mu- rindira
bikamurushya	bi- ka- mu- rushya
bikamusaba	bi- ka- mu- saba
bikamushimisha	bi- ka- mu- shima -ish
bikamusubiza	bi- ka- mu- subiza
bikamutangaza	bi- ka- mu- tangaza
bikamutera	bi- ka- mu- tera
bikamuteranya	bi- ka- mu- teranya
bikamutesha	bi- ka- mu- ta -ish
bikamuviramo	bi- ka- mu- va -ir -mo
bikamuvuna	bi- ka- mu- vuna
bikamuyobera	bi- ka- mu- yobera
bikamuzamura	bi- ka- mu- zamura
bikamuzana	bi- ka- mu- zana
bikamve	bi- ka- n- va -e
bikana	bika -an
bikanadukira	bi- ka- n- aduka -ir
bikanagurisha	bi- ka- nagura -ish
bikanagurishwa	bi- ka- nagura -ish -w
bikanagurwa	bi- ka- nagura -w
bikanakira	bi- ka- n- akira
bikanambeshaho	bi- ka- namba -ish -ho
bikanandikwa	bi- ka- n- andika -w
bikanangiza	bi- ka- n- angiza
bikananira	bi- ka- nanira
bikananirana	bi- ka- nanira -an
bikandagira	bi- kandagira
bikandi	bi- ka- n- ri
bikandika	bi- ka- andika
bikandikwa	bi- ka- andika -w
bikanduza	bi- ka n- tu- za
bikanengwa	bi- ka- n- enga -w
bikanerekana	bi- ka- n- erekana
bikanerekwa	bi- ka- n- ereka -w
bikanga	bi- kanga
bikanganya	bi- ka- nganya
bikanganye	bi- ka- anganye
bikangenda	bi- ka- n- genda
bikangirika	bi- ka- angirika
bikangiza	bi- ka- angiza
bikangizwa	bi- ka- angiza -w
bikangura	bi- kangura
bikangurira	bi- kangura -ir
bikangwa	bi- kanga -w
bikanica	bi- ka- n- ica
bikanifuzwa	bi- ka- n- ifuzwa
bikanigirwamo	bi- ka- n- i- girwa -mo
bikanigishwa	bi- ka- n- igishwa
bikanihuta	bi- ka- n- ihuta
bikanikwa	bi- ka- anika -w
bikaninjira	bi- ka- n- injira
bikanirunda	bi- ka- n- i- runda
bikanitabira	bi- ka- n- itaba -ir
bikanongera	bi- ka- n- ongera
bikanongerera	bi- ka- n- ongera -ir
bikanongerwamo	bi- ka- n- ongera -w -mo
bikanoroha	bi- ka- n- oroha
bikanorohera	bi- ka- n- oroha -ir
bikanozwa	bi- ka- noza -w
bikanshimisha	bi- ka- n- shima -ish
bikanshobera	bi- ka- n- shobera
bikansiga	bi- ka- n- siga
bikansunikira	bi- ka- n- sunika -ir
bikantera	bi- ka- n- tera
bikantugura	bi- ka n- tu- gura
bikanubahisha	bi- ka- n- ubaha -ish
bikanubaka	bi- ka- n- ubaka
bikanuka	bi- ka- nuka
bikanumvikana	bi- ka- n- umvikana
bikanungukira	bi- ka- n- unguka -ir
bikanyagirwa	bi- ka- nyagirwa
bikanyanyagira	bi- ka n- ya- nyagira
bikanyobera	bi- ka- n- yobera
bikanyobora	bi- ka- n- yobora
bikanyura	bi- ka- nyura
bikanyurana	bi- ka- nyura -an
bikanze	bi- kanze
bikarama	bi- karama
bikaramba	bi- ka- ramba
bikarambikwa	bi- ka- rambika -w
bikarandurwa	bi- ka- randura -w
bikaranga	bi- karanga
bikarangira	bi- ka- rangira
bikarangirana	bi- ka- rangira -an
bikarangirira	bi- ka- rangira -ir
bikarangishije	bi- karanga -ish -ije
bikarangiza	bi- ka- rangiza
bikarangizwa	bi- ka- rangiza -w
bikarangwa	bi- karanga -w
bikaranze	bi- karanze
bikarara	bi- ka- rara
bikareba	bi- ka- reba
bikarebaho	bi- ka- reba -ho
bikarebwaho	bi- ka- reba -w -ho
bikareka	bi- ka- reka
bikarekamo	bi- ka- reka -mo
bikarekeraho	bi- ka- rekera -ho
bikarekura	bi- ka- rekura
bikarekurwa	bi- ka- rekura -w
bikarekwa	bi- ka- reka -w
bikarema	bi- ka- rema
bikarenga	bi- ka- renga
bikarengaho	bi- ka- renga -ho
bikarengera	bi- ka- rengera
bikarengerwa	bi- ka- rengerwa
bikarengwa	bi- ka- renga -w
bikari	bi- ka- ri
bikaribwa	bi- ka- ribwa
bikarifasha	bi- ka- ri- fasha
bikarigira	bi- ka- ri- gira
bikarimo	bi- ka- ri -mo
bikarinda	bi- ka- rinda
bikarindwa	bi- ka- rinda -w
bikarishye	bi- ka- risha -ye
bikaritera	bi- ka- ri- tera
bikaruhuka	bi- ka- ruhuka
bikaruhura	bi- ka- ru- hura
bikarumba	bi- ka ru- n- ba
bikarundwa	bi- ka- runda -w
bikarurirwa	bi- ka- rura -ir -w
bikarusha	bi- ka- rusha
bikarushaho	bi- ka- rusha -ho
bikarushya	bi- ka- rushya
bikarutishwa	bi- ka- ruta -ish -w
bikarutwa	bi- ka- ruta -w
bikaruviramo	bi- ka- ru- va -ir -mo
bikarwanya	bi- ka- rwanya
bikarwanywa	bi- ka- rwanya -w
bikarwanywaho	bi- ka- rwanya -w -ho
bikaryoha	bi- ka- ryoha
bikaryohera	bi- ka- ryoha -ir
bikashyirwa	bi- ka- shyira -w
bikataje	bi- kataje
bikatubabaza	bi- ka- tu- babaza
bikatubuza	bi- ka- tu- buza
bikatubwira	bi- ka- tu- bwira
bikatugiraho	bi- ka- tu- gira -ho
bikatugirira	bi- ka- tu- gira -ir
bikatugora	bi- ka- tu- gora
bikatunanira	bi- ka- tu- nanira
bikaturenga	bi- ka- tu- renga
bikaturinda	bi- ka- tu- rinda
bikatuyobera	bi- ka- tu- yobera
bikatwa	bi- kata -w
bikatwambura	bi- ka- tu- ambura
bikatwigisha	bi- ka- tu- igisha
bikatwubaka	bi- ka- tu- ubaka
bikava	bi- ka- va
bikavaho	bi- ka- va -ho
bikavamo	bi- ka- va -mo
bikavana	bi- ka- vana
bikavanaho	bi- ka- vana -ho
bikavangirwa	bi- ka- vanga -ir -w
bikavangwa	bi- ka- vanga -w
bikavanwaho	bi- ka- vana -w -ho
bikavanwamo	bi- ka- vana -w -mo
bikaviramo	bi- ka- va -ir -mo
bikavuga	bi- ka- vuga
bikavugwa	bi- ka- vuga -w
bikavugwaho	bi- ka- vuga -w -ho
bikavuka	bi- ka- vuka
bikavukamo	bi- ka- vuka -mo
bikavumbura	bi- ka- vumbura
bikavuna	bi- ka- vuna
bikavunika	bi- ka- vunika
bikavunira	bi- ka- vuna -ir
bikawubyarira	bi- ka- wu- byara -ir
bikawufasha	bi- ka- wu- fasha
bikawuhagarika	bi- ka- wu- hagarika
bikawungiraho	bi- ka wu- n- gira -ho
bikawusigira	bi- ka- wu- siga -ir
bikawutera	bi- ka- wu- tera
bikawutesha	bi- ka- wu- ta -ish
bikayabika	bi- ka- ya- bika
bikayabura	bi- ka- ya- bura
bikayaha	bi- ka- ya- ha
bikayahabwa	bi- ka- ya- habwa
bikayahesha	bi- ka- ya- ha -ish
bikayangiza	bi- ka- y- angiza
bikayarinda	bi- ka- ya- rinda
bikayatesha	bi- ka- ya- ta -ish
bikayaviramo	bi- ka- ya- va -ir -mo
bikayenga	bi- ka- y- enga
bikayibabaza	bi- ka- yi- babaza
bikayibumbiraho	bi- ka- yi- bumbira -ho
bikayifasha	bi- ka- yi- fasha
bikayigeza	bi- ka- yi- geza
bikayigira	bi- ka- yi- gira
bikayiha	bi- ka- yi- ha
bikayihesha	bi- ka- yi- ha -ish
bikayinanira	bi- ka- yi- nanira
bikayirinda	bi- ka- yi- rinda
bikayisamira	bi- ka- yi- sama -ir
bikayisohora	bi- ka- yi- sohora
bikayisumba	bi- ka- yi- sumba
bikayitera	bi- ka- yi- tera
bikayiyobera	bi- ka- yi- yobera
bikayoberana	bi- ka- yobera -an
bikayongerera	bi- ka- y- ongera -ir
bikaza	bi- kaza
bikazaba	bi- ka- za- ba
bikazababera	bi- ka- za- ba- bera
bikazabafasha	bi- ka- za- ba- fasha
bikazabageza	bi- ka- za- ba- geza
bikazabagezwaho	bi- ka- za- ba- geza -w -ho
bikazabagiraho	bi- ka- za- ba- gira -ho
bikazabagirira	bi- ka- za- ba- gira -ir
bikazabagirire	bi- ka- za- ba- gira -ir -e
bikazabagora	bi- ka- za- ba- gora
bikazabaho	bi- ka- za- ba -ho
bikazabakura	bi- ka- za- ba- kura
bikazabarushya	bi- ka- za- ba- rushya
bikazabasaba	bi- ka- za- ba- saba
